County Name,Market Name,Market Location,Manager,Days,Hours,Months,Market Phone,Latitude,Longitude
Los Angeles,Claremont Farmers & Artisan's Market,"Harvard Ave., between Bonita Street and First Street, Claremont, 91711",Oscar G. De Leon,Sun,8am - 1pm,Year Round,(714) 345-3087,34.094509982548,-117.716399961019
Los Angeles,Downtown Long Beach CFM,"N. Promenade, Between 3rd & 5th Sts., Pine & Long Beach Blvd., Long Beach, 90807",Kelli Johnson,Friday,10am - 2pm,Year Round,(562) 308-7364,40.592330009952,-73.657279970896
Los Angeles,Redondo Beach CFM,"309 Esplanade, Torrance Blvd. & George Freeth Way, Redondo Beach, 90277",Nancy Jones,Thur.,8am - 1pm,Year Round,(310) 318-0610,33.837337673142,-118.388215711779
Los Angeles,Burbank Certified Farmers Market,"150 N. 3rd St., Glen Oaks Blvd. & Olive Ave., Burbank, 91502",Denise DeLeo,Sat,8am - noon,Year Round,(310) 625-1363,34.183219980534,-118.306270026744
Los Angeles,Santa Monica Farmers Market - Sunday Main St.,"2640 Main St., Main St. at Ocean Park Blvd., Santa Monica, 90405",Christine Pagtalunan,Sun,8:30am - 1:30pm,Year Round,(424) 280-6671,34.002299995163,-118.483929996604
Los Angeles,Hollywood Farmers' Market,"1600 N. Ivar Avenue, Los Angeles, 90028",Dagmar Kostkova,Sun,8am - 1pm,Year Round,(323) 463-3171,34.099837316049,-118.328090844958
Los Angeles,Alhambra Certified Farmers Market,"100 S Second St., between Main St. & Commonwealth Ave., Alhambra, 91801",Harry Wong,Sun,8am - 1pm,Year Round,(626) 347-8981,34.09309940252,-118.128128818197
Los Angeles,Uptown / Bixby Knolls CFM,"Atlantic Ave., & 45th St., South of Del Amo, Long Beach, 90807",Kelli Johnson,Thur,3-7 pm,Year Round,(562) 308-7364,33.839869985282,-118.185240038757
Los Angeles,Culver City Farmers Market,"Main Street, between Culver Blvd., & Venice Blvd., Culver City, 90232",Cynthia Ojeda,Tue,2 - 7pm,Year Round,(424) 772-6628,34.026949998935,-118.392470021915
Los Angeles,Southeast Long Beach / Marina CFM,"2nd St. & Marina Dr., Basin 3 opposite 2nd & PCH, next to Marina shipyard, Long Beach, 90803",Kelli Johnson,Sun.,8:30am - 2pm,Year Round,None,33.757630020267,-118.113239993394
Los Angeles,Torrance Certified Farmers' Market -Tuesday,"Wilson Park, 2400 Jefferson St. (Crenshaw Ave.), Torrance, 90501",Joyce Chan,Tue,8am - 1pm,Year Round,(310) 781-7520,33.827532698518,-118.326878935718
Los Angeles,Encino Farmers Market,"17400 Victory Blvd, Between Whiteoak & Louise, Van Nuys, 91406",Carole Gallegos,Sun.,8am - 1pm,Year Round,(818) 706-6611,34.183829009619,-118.51440399816
Los Angeles,Venice Farmers Market,"500 Venice Blvd., LA City Parking Lot #701, Venice Blvd. @ Venice Way, Venice, 90291",James Murez,Fri.,7 -11am,Year Round (excludi ng Thanksg iving wk.),(310) 399-6690,33.987260478042,-118.465152955126
Los Angeles,Santa Clarita Certified Farmers' Market,"College of the Canyons, Pkg lot #5, 26455 Rockwell Canyon Rd. /Valencia Blvd., Santa Clarita, 91355",Karen Wetzel Schott,Sun,8am - noon,Year Round,(805) 529-6266,34.40279,-118.56646
Los Angeles,Pasadena Certified Farmers' Market (Villa Parke),"363 E. Villa St., East of Villa Park Community Center, Pasadena, 91101",Gretchen Sterling,Tues,8am - noon,Year Round,(626) 449-0179,34.143805,-118.13838
Los Angeles,Calabasas Certified Farmers Market,"23504 Calabasas Rd., Calabasas, 91302",Fernando Oxa,Sat.,8am - 1pm,Year Round,(818) 591-8161,34.157543319351,-118.63857275743
Los Angeles,Whittier Uptown Farmers Market,"13018 Philadelphia St., between Greenleaf Ave. & Bright Ave., Whittier, 90601",Daniel Gomez,Fri,8am - 1pm,Year Round,(562) 696-2662,33.979032706657,-118.036659879884
Los Angeles,Beverly Hills Farmers Market,"9300 block of Civic Center Dr., Beverly Hills, 90210",Evan Doyle,Sun.,8am - 1pm,Year Round,(310) 285-6830,34.074142557344,-118.399252562382
Los Angeles,Hermosa Beach Certified Farmers Market,"1035 Valley Dr., Valley Dr. & 11th St., Hermosa Beach, 90254",Nancy Jones,Fri,Noon - 4pm,Year Round,(310) 720-9306,33.862599988404,-118.394949975607
Los Angeles,Northridge Farmers Market & Family Festival,"9301 Tampa Ave., Northridge, 91324",Aleen Ferris,Wed.,5-9 pm,Mar - Nov,(805) 643-6458,34.237508980668,-118.553587467668
Los Angeles,Pomona Valley Certified Farmers Market,"Garey Ave. & Pearl St., Pomona, 91767",Harry Brown- Hiegel,Sat,9am - 1pm,Year Round,(909) 622-3806,34.064510019526,-117.750429984997
